iter	RMSE
0	14.49035628
1	14.09125577
2	13.71131004
3	13.35755999
4	12.99102746
5	12.61703496
6	12.26363311
7	11.91177862
8	11.57986887
9	11.29841767
10	11.00397388
11	10.7085679
12	10.45542254
13	10.18333867
14	9.952445717
15	9.694573614
16	9.480457614
17	9.279308829
18	9.078393998
19	8.860381937
20	8.643203213
21	8.440674091
22	8.247017498
23	8.049454711
24	7.87628298
25	7.710020231
26	7.551674826
27	7.404232698
28	7.262269063
29	7.108194249
30	6.971394227
31	6.850592132
32	6.724849742
33	6.60211339
34	6.486067592
35	6.382005369
36	6.274664628
37	6.174078738
38	6.06565334
39	5.976690406
40	5.896147711
41	5.814837776
42	5.735172446
43	5.658637799
44	5.573018551
45	5.497521679
46	5.416350454
47	5.347417735
48	5.283773193
49	5.221823919
50	5.16292113
51	5.105779823
52	5.0493072
53	4.99459164
54	4.948061929
55	4.889046445
56	4.835546416
57	4.785232975
58	4.740330775
59	4.70532144
60	4.663505072
61	4.618586668
62	4.588336057
63	4.548822602
64	4.510736961
65	4.474074601
66	4.441274061
67	4.408715217
68	4.376107439
69	4.338059877
70	4.303675165
71	4.271976373
72	4.24480331
73	4.221133149
74	4.197190886
75	4.169984609
76	4.144995605
77	4.127787674
78	4.101725114
79	4.078128748
80	4.059195165
81	4.034465792
82	4.011645208
83	3.99740909
84	3.982673782
85	3.963885922
86	3.949540339
87	3.93825704
88	3.922368374
89	3.903009207
90	3.886470137
91	3.876351602
92	3.859179139
93	3.844825807
94	3.829616101
95	3.813892666
96	3.801540122
97	3.788521159
98	3.776220156
99	3.761911828
100	3.745787844
101	3.731281668
102	3.715005434
103	3.702889472
104	3.694678541
105	3.679424846
106	3.665128164
107	3.655256577
108	3.644462906
109	3.630631933
110	3.616922414
111	3.605961619
112	3.597763368
113	3.590650957
114	3.581732206
115	3.570121022
116	3.557109054
117	3.546912067
118	3.539560054
119	3.530599852
120	3.522004158
121	3.512718249
122	3.507797941
123	3.497282859
124	3.487174874
125	3.478929602
126	3.474924534
127	3.466842337
128	3.458952037
129	3.451129495
130	3.437863904
131	3.431705718
132	3.422516086
133	3.414893992
134	3.403207481
135	3.390040189
136	3.379564548
137	3.371675794
138	3.367805186
139	3.360020903
140	3.350991962
141	3.346065894
142	3.336871937
143	3.329230234
144	3.322340109
145	3.312366086
146	3.302849065
147	3.29776927
148	3.286563701
149	3.277290779
150	3.270492751
151	3.26379403
152	3.258104449
153	3.254431106
154	3.244672834
155	3.237292615
156	3.232294372
157	3.226906211
158	3.218202109
159	3.212487709
160	3.206871161
161	3.19561789
162	3.188457968
163	3.175841391
164	3.170051817
165	3.16488529
166	3.160182744
167	3.153161303
168	3.145777889
169	3.141056222
170	3.137288943
171	3.130804309
172	3.119709458
173	3.109900519
174	3.101739104
175	3.094444137
176	3.084659021
177	3.07447578
178	3.071327698
179	3.065373886
180	3.057216563
181	3.050660827
182	3.045610691
183	3.037928699
184	3.032241784
185	3.025042233
186	3.016011893
187	3.008544368
188	3.00414279
189	2.993110698
190	2.987849237
191	2.980972297
192	2.976374398
193	2.970414088
194	2.963028328
195	2.953844392
196	2.948978398
197	2.941962785
198	2.932450386
199	2.927315575
200	2.919086413
201	2.914629107
202	2.911070278
203	2.908268356
204	2.900669011
205	2.894774973
206	2.892820917
207	2.888280038
208	2.885143532
209	2.878469359
210	2.871849476
211	2.866979118
212	2.863643978
213	2.853076765
214	2.849700886
215	2.845119567
216	2.83573251
217	2.829605312
218	2.822906654
219	2.81575923
220	2.807066683
221	2.802195031
222	2.793968129
223	2.789599168
224	2.784334259
225	2.779258231
226	2.775108164
227	2.769476593
228	2.766023536
229	2.758628759
230	2.754111219
231	2.743581887
232	2.74206041
