iter	Passed	Remaining
0	1	1947
1	3	1814
2	7	2491
3	9	2281
4	10	2133
5	12	2033
6	13	1961
7	15	1902
8	17	1880
9	18	1855
10	22	2026
11	24	2002
12	26	1994
13	27	1960
14	29	1930
15	30	1900
16	32	1883
17	34	1865
18	38	1984
19	40	1973
20	41	1957
21	43	1942
22	45	1941
23	47	1925
24	48	1908
25	52	1972
26	54	1980
27	56	1970
28	58	1952
29	59	1937
30	61	1921
31	63	1907
32	64	1897
33	67	1927
34	69	1917
35	71	1906
36	72	1891
37	74	1878
38	75	1866
39	77	1855
40	78	1845
41	80	1836
42	84	1872
43	85	1861
44	87	1850
45	88	1840
46	90	1830
47	92	1825
48	93	1815
49	95	1805
50	98	1827
51	99	1819
52	101	1810
53	102	1803
54	104	1794
55	105	1786
56	107	1780
57	109	1774
58	111	1772
59	114	1793
60	116	1790
61	117	1784
62	119	1777
63	121	1771
64	122	1764
65	124	1758
66	126	1764
67	131	1800
68	133	1805
69	136	1813
70	138	1805
71	140	1807
72	141	1800
73	144	1812
74	146	1808
75	148	1808
76	150	1804
77	152	1798
78	154	1795
79	155	1789
80	157	1784
81	160	1798
82	162	1795
83	164	1791
84	165	1785
85	168	1790
86	169	1780
87	171	1776
88	173	1771
89	176	1786
90	178	1784
91	180	1779
92	184	1796
93	193	1861
94	196	1875
95	200	1888
96	213	1987
97	219	2019
98	226	2060
99	231	2086
100	233	2081
101	236	2083
102	241	2103
103	244	2107
104	247	2105
105	248	2097
106	250	2093
107	252	2087
108	258	2114
109	260	2110
110	263	2107
111	265	2103
112	267	2100
113	273	2129
114	277	2134
115	279	2126
116	282	2133
117	285	2134
118	290	2149
119	292	2145
120	294	2138
121	296	2133
122	297	2122
123	304	2151
124	306	2146
125	309	2144
126	310	2136
127	312	2127
128	313	2119
129	319	2135
130	321	2134
131	324	2131
132	325	2124
133	328	2124
134	330	2116
135	337	2143
136	339	2137
137	341	2130
138	342	2124
139	345	2119
140	350	2137
141	353	2135
142	355	2130
143	357	2123
144	359	2121
145	364	2130
146	367	2130
147	369	2127
148	371	2121
149	373	2115
150	375	2113
151	381	2129
152	384	2129
153	386	2122
154	388	2116
155	390	2113
156	395	2122
157	398	2121
158	400	2118
159	402	2114
160	405	2111
161	407	2106
162	412	2119
163	415	2117
164	417	2110
165	418	2104
166	422	2106
167	427	2115
168	430	2115
169	432	2110
170	433	2103
171	436	2102
172	438	2097
173	443	2107
174	446	2103
175	448	2097
176	450	2094
177	452	2091
178	457	2097
179	461	2103
180	463	2096
181	465	2090
182	467	2088
183	471	2092
184	474	2090
185	476	2087
186	478	2081
187	480	2075
188	483	2072
189	488	2084
190	491	2082
191	493	2077
192	496	2077
193	499	2073
194	503	2077
195	505	2072
196	507	2067
197	509	2063
198	511	2056
199	512	2050
200	514	2044
201	517	2045
202	519	2040
203	521	2035
204	523	2030
205	525	2023
206	526	2017
207	528	2011
208	529	2005
209	533	2007
210	535	2003
211	537	1998
212	539	1994
213	541	1988
214	543	1984
215	545	1978
216	549	1981
217	552	1981
218	554	1976
219	555	1970
220	558	1968
221	560	1962
222	562	1960
223	565	1959
224	568	1958
225	571	1956
226	572	1951
227	575	1949
228	581	1956
229	583	1953
230	585	1949
231	587	1944
232	590	1944
233	592	1940
234	596	1940
235	598	1938
236	600	1933
237	602	1928
238	604	1924
239	608	1928
240	611	1925
241	613	1922
242	616	1920
243	618	1915
244	620	1911
245	626	1920
246	629	1917
247	630	1913
248	632	1908
249	635	1905
250	639	1906
251	641	1903
252	643	1900
253	645	1895
254	647	1890
255	649	1887
256	653	1889
257	656	1886
258	658	1884
259	660	1880
260	662	1875
261	665	1873
262	669	1876
263	671	1873
264	674	1870
265	676	1865
266	677	1860
267	679	1855
268	681	1850
269	684	1851
270	686	1847
271	688	1843
272	690	1837
273	691	1832
274	693	1827
275	694	1822
276	696	1817
277	701	1820
278	702	1816
279	704	1811
280	706	1806
281	707	1801
282	709	1797
283	710	1792
284	712	1787
285	716	1789
286	718	1786
287	720	1781
288	722	1777
289	725	1775
290	727	1771
291	731	1772
292	733	1769
293	735	1765
294	739	1767
295	742	1765
296	744	1762
297	749	1764
298	751	1761
299	753	1758
300	755	1754
301	756	1749
302	758	1744
303	762	1744
304	764	1742
305	766	1738
306	768	1734
307	770	1730
308	771	1726
309	776	1728
310	779	1726
311	781	1722
312	783	1718
313	784	1714
314	786	1709
315	787	1704
316	790	1704
317	792	1700
318	794	1696
319	796	1692
320	798	1688
321	799	1684
322	801	1679
323	802	1674
324	804	1670
325	806	1668
326	809	1665
327	811	1661
328	813	1658
329	814	1654
330	816	1650
331	818	1646
332	821	1645
333	823	1641
334	825	1637
335	826	1633
336	828	1629
337	829	1625
338	831	1620
339	832	1616
340	836	1615
341	837	1612
342	839	1608
343	841	1604
344	842	1600
345	844	1596
346	846	1592
347	847	1588
348	849	1584
349	853	1584
350	854	1580
351	856	1576
352	857	1572
353	859	1568
354	861	1564
355	862	1560
356	864	1556
357	867	1556
358	869	1551
359	870	1548
360	872	1544
361	873	1540
362	875	1536
363	876	1532
364	878	1528
365	880	1524
366	883	1523
367	885	1520
368	886	1516
369	888	1512
370	889	1508
371	891	1505
372	893	1501
373	894	1497
374	897	1496
375	900	1494
376	901	1490
377	904	1488
378	906	1484
379	907	1480
380	909	1478
381	911	1474
382	913	1472
383	915	1468
384	917	1464
385	918	1461
386	920	1457
387	921	1453
388	923	1450
389	924	1446
390	928	1446
391	930	1442
392	931	1439
393	933	1435
394	934	1431
395	936	1428
396	938	1425
397	940	1422
398	942	1419
399	944	1416
400	946	1413
401	947	1410
402	949	1406
403	951	1403
404	952	1399
405	954	1396
406	955	1392
407	958	1391
408	960	1387
409	962	1384
410	963	1380
411	965	1377
412	966	1374
413	968	1370
414	969	1367
415	971	1363
416	975	1363
417	976	1359
418	978	1356
419	979	1353
420	981	1349
421	983	1346
422	984	1343
423	986	1340
424	1031	1395
425	1034	1393
426	1036	1391
427	1042	1393
428	1045	1391
429	1047	1388
430	1050	1386
431	1055	1387
432	1058	1385
433	1060	1383
434	1104	1435
435	1107	1432
436	1110	1430
437	1112	1428
438	1115	1425
439	1117	1422
440	1122	1423
441	1125	1420
442	1127	1418
443	1130	1415
444	1133	1413
445	1137	1413
446	1166	1443
447	1172	1444
448	1175	1442
449	1178	1440
450	1184	1442
451	1187	1440
452	1194	1441
453	1222	1470
454	1227	1470
455	1234	1473
456	1253	1489
457	1257	1488
458	1263	1488
459	1268	1489
460	1271	1487
461	1274	1483
462	1276	1480
463	1278	1476
464	1282	1475
465	1284	1472
466	1288	1470
467	1290	1466
468	1292	1463
469	1294	1459
470	1300	1460
471	1303	1457
472	1304	1453
473	1307	1451
474	1309	1447
475	1314	1446
476	1317	1444
477	1319	1441
478	1321	1437
479	1324	1434
480	1326	1430
481	1336	1435
482	1341	1435
483	1345	1434
484	1347	1431
485	1350	1428
486	1352	1424
487	1354	1421
488	1356	1417
489	1361	1416
490	1364	1414
491	1367	1411
492	1369	1408
493	1371	1405
494	1376	1404
495	1379	1401
496	1381	1398
497	1383	1394
498	1385	1390
499	1387	1387
500	1391	1385
501	1393	1382
502	1395	1378
503	1396	1374
504	1398	1370
505	1400	1367
506	1402	1363
507	1406	1361
508	1408	1358
509	1410	1355
510	1412	1352
511	1414	1348
512	1416	1344
513	1419	1342
514	1422	1339
515	1424	1336
516	1426	1332
517	1428	1329
518	1430	1325
519	1431	1321
520	1434	1318
521	1438	1317
522	1440	1314
523	1442	1310
524	1445	1308
525	1447	1304
